iter	RMSE
0	16.04303605
1	15.80772906
2	15.60639978
3	15.39756861
4	15.23226393
5	15.04497489
6	14.8569676
7	14.72490549
8	14.5459205
9	14.37923983
10	14.22506545
11	14.04759317
12	13.89451156
13	13.74416781
14	13.59823399
15	13.46159706
16	13.32937961
17	13.20555966
18	13.06351856
19	12.89728686
20	12.76207816
21	12.6516706
22	12.50534657
23	12.38916451
24	12.3012379
25	12.20995594
26	12.08251705
27	12.00461093
28	11.90374696
29	11.81001987
30	11.72538684
31	11.64582053
32	11.56781913
33	11.48493255
34	11.39583033
35	11.33096993
36	11.25266883
37	11.15640847
38	11.06167276
39	10.98500936
40	10.91386771
41	10.87162439
42	10.7962885
43	10.72832987
44	10.66660743
45	10.60259229
46	10.5255
47	10.47091523
48	10.38365233
49	10.33016166
50	10.26952674
51	10.21622941
52	10.14491997
53	10.08456746
54	10.03807688
55	10.00194408
56	9.968147756
57	9.927603115
58	9.863645522
59	9.80897312
60	9.752973507
61	9.7125261
62	9.67483985
63	9.635379111
64	9.577881915
65	9.524732567
66	9.506508478
67	9.466361143
68	9.415032441
69	9.385007908
70	9.335454137
71	9.287473323
72	9.238662595
73	9.20197039
74	9.150425497
75	9.12023451
76	9.095193284
77	9.062093065
78	9.028389692
79	9.005496783
80	8.967072704
81	8.935842191
82	8.902649935
83	8.844169929
84	8.803537299
85	8.757151531
86	8.721719523
87	8.691656701
88	8.660672391
89	8.627013317
90	8.593898922
91	8.55751435
92	8.51213599
93	8.476599595
94	8.445662504
95	8.42103244
96	8.405620235
97	8.372926662
98	8.340112624
99	8.321480171
100	8.286493191
101	8.240557897
102	8.215349205
103	8.188373693
104	8.14705309
105	8.121864685
106	8.077714792
107	8.037098155
108	8.011938342
109	7.972186333
110	7.949640052
111	7.925063678
112	7.886499876
113	7.853666712
114	7.825427913
115	7.792599263
116	7.762711584
117	7.746649738
118	7.726212419
119	7.698159792
120	7.662422681
121	7.639834419
122	7.606688764
123	7.5658021
124	7.543759183
125	7.513738808
126	7.48319812
127	7.467076322
128	7.438428476
129	7.40426046
130	7.388695278
131	7.357460887
132	7.332859224
133	7.295141203
134	7.292197885
135	7.282300534
136	7.25025286
137	7.211279564
138	7.187175925
139	7.167796926
140	7.151559388
141	7.132336538
142	7.097414677
143	7.075725607
144	7.060552119
145	7.038270025
146	7.015044516
147	7.002316389
148	6.976874493
149	6.948476346
150	6.925757366
151	6.901016495
152	6.881695442
153	6.860331576
154	6.833474386
155	6.814704284
156	6.789297687
157	6.765224141
158	6.738812824
159	6.7207635
160	6.712449405
161	6.69869332
162	6.675794902
163	6.663075815
164	6.649892657
165	6.626527045
166	6.601898533
167	6.59036135
168	6.574261911
169	6.542724599
170	6.508312924
171	6.494554086
172	6.46829816
173	6.454027447
174	6.436061896
175	6.417238835
176	6.405589689
177	6.397809742
178	6.373493909
179	6.358890726
180	6.33333537
181	6.31140107
182	6.291345308
183	6.280880111
184	6.250498048
185	6.24004941
186	6.225619501
187	6.208613515
188	6.18800617
189	6.175906348
190	6.160856328
191	6.15185527
192	6.11904237
193	6.104821647
194	6.077591434
195	6.056371002
196	6.039691119
197	6.019963109
198	5.994081521
199	5.977061458
200	5.954989312
201	5.931929689
202	5.924186037
203	5.906483446
204	5.886116241
205	5.876628514
206	5.854644598
207	5.836922586
208	5.828199281
209	5.814887378
210	5.805337246
211	5.785403356
212	5.766318416
213	5.761150977
214	5.750901
215	5.745695168
216	5.734356241
217	5.716884568
218	5.705242812
219	5.698283377
220	5.686512323
221	5.679495208
222	5.672566563
223	5.664109176
224	5.647602121
225	5.638399557
226	5.609579513
227	5.58702051
228	5.580012642
229	5.557290649
230	5.55007515
231	5.537307551
232	5.523551002
233	5.509587424
234	5.505595072
235	5.492072949
236	5.477930624
237	5.471070216
238	5.450289278
239	5.434259864
240	5.425308455
241	5.406346824
242	5.39369807
243	5.380102777
244	5.373193217
245	5.369134194
246	5.364274218
247	5.347263571
248	5.3408105
249	5.33674434
250	5.308411471
251	5.293405032
252	5.26178951
253	5.255195768
254	5.224470221
255	5.212302313
256	5.200393482
257	5.194875163
258	5.182543043
259	5.176147256
260	5.171448589
261	5.145683131
262	5.124643219
263	5.096565244
264	5.071301586
265	5.067212914
266	5.044697844
267	5.038738069
268	5.033584285
269	5.022596743
270	5.010029456
271	5.006488288
272	4.995516332
273	4.971962967
274	4.968108337
275	4.963799417
276	4.956779391
277	4.95160241
278	4.946615707
279	4.933064774
280	4.92772129
281	4.919333565
282	4.914066809
283	4.908424013
284	4.898851681
285	4.893095931
286	4.882473209
287	4.876980749
288	4.865654659
289	4.856260516
290	4.846570512
291	4.819820259
292	4.81518115
293	4.804939123
294	4.788757167
295	4.784092148
296	4.779751823
297	4.775234001
298	4.765129025
299	4.74981407
300	4.74433666
301	4.723817233
302	4.714567214
303	4.711297825
304	4.692963441
305	4.678639314
306	4.65902131
307	4.652591341
308	4.627599585
309	4.617258227
310	4.613221917
311	4.600703309
312	4.595239452
313	4.591263126
314	4.571630624
315	4.564969852
316	4.556596953
317	4.552374709
318	4.547538079
319	4.527870154
320	4.505981629
321	4.490413574
322	4.485371261
323	4.458378997
324	4.444773163
325	4.433717555
326	4.425594292
327	4.410344199
328	4.38453583
329	4.366727415
330	4.356724033
331	4.338030412
332	4.322642402
333	4.315319876
334	4.300388801
335	4.296845497
336	4.289770275
337	4.281473426
338	4.259477378
339	4.237983745
340	4.224655994
341	4.2161626
342	4.212699891
343	4.206521465
344	4.203039669
345	4.200545458
346	4.180417076
347	4.171436752
348	4.162672086
349	4.159300208
350	4.148857521
351	4.145411201
352	4.121126073
353	4.107318054
354	4.093524579
355	4.090469624
356	4.081669774
357	4.072084304
358	4.061481483
359	4.055823843
360	4.038859535
361	4.036795724
362	4.023249175
363	4.020407586
364	4.017672789
365	4.009671213
366	3.98885328
367	3.977003562
368	3.961617585
369	3.948633922
370	3.941630482
371	3.923993531
372	3.905727869
373	3.889583091
374	3.873315017
375	3.866667698
376	3.854166122
377	3.851586386
378	3.840146814
379	3.826118979
380	3.817367862
381	3.813242497
382	3.807201358
383	3.790690761
384	3.788259088
385	3.775890697
386	3.774043014
387	3.76570435
388	3.750914927
389	3.740393138
390	3.71836946
391	3.703324667
392	3.692179212
393	3.680901691
394	3.678465115
395	3.676797104
396	3.674550933
397	3.661182945
398	3.653921468
399	3.635710176
400	3.626452095
401	3.613516968
402	3.601445932
403	3.587615153
404	3.58486848
405	3.582409198
406	3.578050297
407	3.572096635
408	3.558898901
409	3.552279151
410	3.539717169
411	3.521778022
412	3.504340048
413	3.49025138
414	3.480402034
415	3.473363831
416	3.464588946
417	3.460269673
418	3.453517474
419	3.436917267
420	3.434756047
421	3.419425447
422	3.407640562
423	3.397699003
424	3.393930981
425	3.380003784
426	3.363204943
427	3.349876351
428	3.333527197
429	3.31658143
430	3.30414
431	3.288881246
432	3.282350096
433	3.274379177
434	3.273395358
435	3.262979768
436	3.255051643
437	3.245054393
438	3.242018927
439	3.239940788
440	3.234500244
441	3.222860145
442	3.216117346
443	3.204726035
444	3.202637484
445	3.20089958
446	3.189394003
447	3.186741206
448	3.178408351
449	3.171843186
450	3.16608375
451	3.159392108
452	3.1502569
453	3.138572676
454	3.130620319
455	3.128919965
456	3.121537647
457	3.111849305
458	3.102303611
459	3.091076186
460	3.077373386
461	3.068441755
462	3.052096803
463	3.042414415
464	3.031222032
465	3.020201829
466	3.01742542
467	3.009714382
468	2.999434904
469	2.996809126
470	2.984529141
471	2.977989867
472	2.969906393
473	2.964232178
474	2.963118592
475	2.948573919
476	2.939622162
477	2.929029046
478	2.921104883
479	2.912390907
480	2.910362948
481	2.900208063
482	2.888662759
483	2.887896105
484	2.886580362
485	2.882499085
486	2.873419001
487	2.863548659
488	2.854592248
489	2.845047229
490	2.835825455
491	2.834379719
492	2.820069091
493	2.812147705
494	2.805983727
495	2.801558159
496	2.788979117
497	2.784252234
498	2.774488754
499	2.764286094
500	2.762745323
501	2.761422915
502	2.754161138
503	2.752701425
504	2.744562653
505	2.733501276
506	2.728666541
507	2.727809718
508	2.723276326
509	2.717855089
510	2.716976021
511	2.710204773
512	2.709249067
513	2.708288842
514	2.699185056
515	2.685935424
516	2.676418723
517	2.666919573
518	2.658919887
519	2.651794072
520	2.651227604
521	2.639671731
522	2.627744286
523	2.626914386
524	2.625941551
525	2.616645682
526	2.614627451
527	2.608409924
528	2.606163317
529	2.605657269
530	2.598438629
531	2.597821848
532	2.592157112
533	2.581545153
